                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1738,                 3.3503,                 2.0908,                0.00549,                0.96552,                0.39536,                0.20866,                 1.3308,                 3.1644,                 1.5846,                0.00016,                0.00016,                0.00016
                      2,                 1.5631,                 2.3936,                 1.5779,                0.00549,                0.96552,                0.53953,                0.25639,                 1.5456,                 2.8527,                  1.741,             0.00033663,             0.00033663,             0.00033663
                      3,                 1.5881,                  2.137,                  1.582,                0.42613,                0.72414,                0.67299,                0.26058,                 1.7396,                 2.7944,                 1.9354,              0.0005097,              0.0005097,              0.0005097
                      4,                  1.516,                 1.9709,                 1.5508,                0.92372,                0.41786,                0.78605,                0.44902,                 1.3396,                 2.5009,                 1.7099,             0.00067921,             0.00067921,             0.00067921
                      5,                 1.5322,                 1.9721,                 1.5889,                0.71109,                 0.2554,                0.35063,                0.15485,                 1.9521,                 3.1146,                 2.5574,             0.00084515,             0.00084515,             0.00084515
                      6,                 1.5447,                 1.8994,                 1.5282,                0.68382,                0.59691,                0.61055,                0.29916,                 1.7955,                 2.6399,                 2.2651,              0.0010075,              0.0010075,              0.0010075
                      7,                 1.4877,                 1.7542,                 1.5064,                0.62242,                0.58621,                0.62144,                0.28129,                 1.7577,                 2.4748,                 2.1069,              0.0011663,              0.0011663,              0.0011663
                      8,                 1.5547,                 1.7908,                 1.5356,                0.59438,                0.58621,                0.59743,                0.23374,                  1.903,                 2.4625,                 2.1295,              0.0013216,              0.0013216,              0.0013216
                      9,                 1.5451,                 1.6965,                 1.5101,                0.62142,                0.48276,                0.51686,                0.17324,                 1.9854,                 2.7065,                  2.259,              0.0014733,              0.0014733,              0.0014733
                     10,                 1.5292,                 1.6929,                 1.5182,                0.49792,                0.34483,                0.41151,                0.13255,                 1.9749,                 2.9209,                 2.3058,              0.0016214,              0.0016214,              0.0016214
                     11,                 1.5537,                 1.6154,                 1.5054,                0.37839,                0.68966,                 0.4533,                0.15854,                 2.1018,                 2.5736,                 2.3924,               0.001766,               0.001766,               0.001766
                     12,                  1.475,                 1.6432,                 1.4968,                0.60425,                0.57936,                  0.472,                0.18038,                 2.2007,                 2.5382,                 2.2786,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5917,                 1.7409,                  1.571,                0.54103,                0.41379,                0.45464,                0.14997,                 2.2422,                 2.5272,                 2.6016,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.5224,                 1.5211,                 1.4927,                0.28428,                0.37931,                0.21781,                0.06644,                 2.2645,                 2.9187,                 2.3863,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5092,                 1.5148,                 1.4593,                0.41533,                 0.5636,                0.48069,                0.17951,                 2.1276,                 2.8574,                 2.2043,              0.0017228,              0.0017228,              0.0017228
                     16,                  1.544,                 1.5498,                 1.5109,                0.67852,                0.62069,                0.65567,                0.24465,                 1.9942,                  2.379,                  2.144,               0.001703,               0.001703,               0.001703
                     17,                 1.4464,                 1.4812,                 1.4302,                0.57928,                0.62069,                0.61672,                0.21556,                 1.8458,                 2.4015,                  2.052,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.4708,                 1.4615,                 1.4583,                0.59781,                0.62069,                0.60376,                0.25799,                 1.9721,                 2.0747,                 2.1355,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.496,                 1.4272,                 1.4821,                0.78242,                0.37241,                0.48626,                0.24374,                 2.0025,                 2.1124,                 2.1135,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.4717,                 1.4233,                 1.4675,                0.73416,                0.62069,                0.63753,                0.33477,                  1.796,                 1.9989,                 2.0552,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.4981,                 1.4953,                 1.4601,                0.59508,                 0.7602,                0.61903,                0.25324,                 1.8734,                 2.3009,                 2.0203,               0.001604,               0.001604,               0.001604
                     22,                 1.4028,                 1.3645,                 1.3999,                0.54171,                0.55172,                0.51619,                0.15456,                 2.2777,                 2.6665,                 2.4338,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.3952,                 1.3352,                 1.4032,                0.53794,                0.48276,                0.45457,                0.15766,                  2.269,                 3.2986,                 2.3483,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.4392,                  1.319,                 1.3984,                0.35376,                0.55172,                0.32434,                0.13378,                 2.2978,                 2.7995,                 2.4633,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.4537,                 1.3257,                 1.4539,                0.59286,                0.55235,                0.60649,                0.28207,                 2.0817,                 1.6143,                 2.1173,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.3629,                 1.3168,                 1.3657,                0.68545,                0.60149,                0.67286,                0.28615,                 1.9853,                  1.671,                  2.023,               0.001505,               0.001505,               0.001505
                     27,                 1.4648,                 1.3178,                 1.4584,                  0.768,                0.55172,                0.69463,                 0.2735,                 1.9844,                 1.7494,                 2.0208,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.4138,                 1.2162,                 1.3876,                0.44447,                0.62069,                 0.4609,                0.22156,                 1.9825,                 1.9624,                  2.014,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.3803,                 1.1771,                 1.3897,                0.50816,                0.75862,                0.62086,                0.26711,                 1.9284,                 1.7324,                 1.9743,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.4214,                 1.2601,                 1.3956,                0.75124,                 0.7931,                0.78549,                0.35931,                 1.6843,                 1.4584,                 1.8644,              0.0014258,              0.0014258,              0.0014258
                     31,                  1.418,                 1.2874,                 1.4384,                0.58399,                 0.7931,                0.65386,                0.28189,                  1.946,                 1.5465,                 2.0905,               0.001406,               0.001406,               0.001406
                     32,                  1.337,                  1.187,                 1.3616,                0.80466,                0.85251,                0.82947,                0.45981,                 1.6326,                 1.3701,                 1.8449,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.3689,                 1.1281,                 1.3773,                0.90793,                0.82759,                0.85342,                0.42007,                 1.6815,                 1.4872,                 1.9028,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3757,                 1.1665,                 1.3991,                0.86306,                0.75862,                0.80858,                0.42542,                 1.5826,                 1.3939,                 1.7727,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3923,                 1.1813,                 1.4065,                0.92356,                0.72414,                 0.8314,                0.43255,                 1.5779,                  1.408,                 1.7443,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3566,                 1.1516,                 1.3812,                0.74966,                0.72289,                0.71628,                0.34331,                 1.6035,                 1.6427,                 1.7574,               0.001307,               0.001307,               0.001307
                     37,                  1.377,                 1.1463,                 1.3917,                0.79161,                0.78612,                0.75821,                0.38104,                 1.6598,                  1.693,                 1.8131,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3561,                 1.0952,                 1.3443,                0.76389,                 0.7931,                0.76074,                0.39822,                 1.5408,                 1.6136,                 1.7453,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3207,                 1.1318,                 1.3512,                0.84322,                0.75862,                0.83137,                0.48011,                 1.5175,                 1.3072,                 1.6366,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3046,                 1.0365,                 1.3331,                0.76966,                0.86207,                0.84247,                0.50591,                 1.5799,                 1.1578,                 1.7142,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2784,                 1.0876,                 1.3404,                0.86066,                0.85218,                0.89299,                0.52059,                 1.5638,                 1.0259,                  1.707,               0.001208,               0.001208,               0.001208
                     42,                 1.3458,                 1.0874,                 1.3765,                0.85243,                 0.7931,                0.84088,                0.48752,                  1.545,                  1.198,                 1.7082,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3108,                 1.0855,                 1.3787,                  0.812,                0.89368,                0.86373,                0.52684,                 1.4866,                 1.0868,                 1.6247,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2548,                 1.0905,                 1.2949,                0.90525,                 0.7931,                0.83705,                0.46232,                 1.6121,                 1.2539,                  1.787,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3096,                 1.0705,                 1.3202,                0.82212,                0.82759,                0.82367,                0.41949,                 1.6525,                 1.2448,                 1.8265,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2442,                 1.0418,                 1.3182,                0.84266,                0.82759,                0.89368,                0.46452,                 1.6401,                 1.0735,                 1.7991,               0.001109,               0.001109,               0.001109
                     47,                 1.2774,                 1.0177,                 1.3218,                0.85996,                0.84729,                0.91206,                0.50014,                 1.5017,                0.95788,                 1.6642,              0.0010892,              0.0010892,              0.0010892
