                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1322,                 3.2699,                 2.0054,                0.00529,                0.93103,                0.40394,                 0.1853,                 1.4002,                 3.1431,                 1.6995,                0.00016,                0.00016,                0.00016
                      2,                 1.6438,                 2.4447,                 1.6107,                0.00529,                0.93103,                0.53872,                0.30092,                 1.4382,                 2.7901,                 1.7101,             0.00033663,             0.00033663,             0.00033663
                      3,                 1.5644,                 2.0083,                 1.5423,                0.60861,                0.13793,                0.28169,                0.11787,                 2.1134,                 3.0597,                 2.1753,              0.0005097,              0.0005097,              0.0005097
                      4,                 1.5167,                 1.8917,                 1.5137,                      1,                0.25822,                0.73867,                0.34581,                 1.4038,                 2.7016,                 1.6537,             0.00067921,             0.00067921,             0.00067921
                      5,                 1.4195,                 1.7786,                 1.4424,                0.70805,                0.66932,                 0.7437,                 0.3761,                 1.5047,                 2.5854,                 1.9039,             0.00084515,             0.00084515,             0.00084515
                      6,                 1.6134,                 1.8216,                 1.5555,                0.59559,                0.40657,                0.56748,                0.21552,                 1.7656,                 2.7623,                 2.1678,              0.0010075,              0.0010075,              0.0010075
                      7,                 1.5489,                 1.8282,                 1.4909,                0.36806,                0.65517,                0.36394,                0.14814,                 1.7182,                 2.6615,                 2.1601,              0.0011663,              0.0011663,              0.0011663
                      8,                 1.5638,                 1.8493,                  1.526,                0.36047,                0.37931,                0.36574,                 0.1592,                 1.8499,                   2.74,                   2.54,              0.0013216,              0.0013216,              0.0013216
                      9,                  1.568,                 1.8102,                 1.5975,                0.46286,                0.53512,                0.50206,                0.19859,                 1.9397,                 5.1214,                  3.749,              0.0014733,              0.0014733,              0.0014733
                     10,                 1.5556,                 1.7746,                 1.5549,                 0.5403,                0.37931,                0.37953,                0.14433,                 2.0616,                 3.4148,                 3.0185,              0.0016214,              0.0016214,              0.0016214
                     11,                 1.5393,                 1.7118,                 1.5457,                0.60508,                0.34483,                0.38466,                0.16699,                 1.8074,                 3.0451,                 2.1464,               0.001766,               0.001766,               0.001766
                     12,                 1.5252,                 1.5912,                 1.4878,                0.33498,                0.41379,                0.27733,                0.08345,                 2.1879,                 3.0135,                  2.735,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5816,                 1.6014,                 1.5039,                0.50959,                0.37931,                0.33459,                0.11994,                 2.2691,                 3.6171,                 2.9294,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.5495,                 1.5958,                 1.4974,                0.48742,                0.48276,                0.46924,                0.20526,                  1.909,                 3.2498,                 2.5996,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5058,                 1.5375,                 1.4907,                0.57692,                0.65517,                0.55806,                0.23925,                 2.0283,                 2.3028,                 2.3064,              0.0017228,              0.0017228,              0.0017228
